YYYY;MM;DD;qobs;qc_flag
1982;6;24;75.0;40
1982;6;25;72.76;40
1982;6;26;71.3;40
1982;6;27;69.86;40
1982;6;28;72.76;40
1982;6;29;72.76;40
1982;6;30;93.18;40
1982;7;1;91.52;40
1982;7;2;80.29;40
1982;7;3;75.73;40
1982;7;4;69.86;40
1982;7;5;68.43;40
1982;7;6;65.63;40
1982;7;7;118.26;40
1982;7;8;89.86;40
1982;7;9;74.24;40
1982;7;10;71.3;40
1982;7;11;74.24;40
1982;7;12;74.24;40
1982;7;13;80.29;40
1982;7;14;77.23;40
1982;7;15;69.86;40
1982;7;16;81.85;40
1982;7;17;79.29;120
1982;7;18;81.6;120
1982;7;19;77.27;120
1982;7;20;74.05;120
1982;7;21;71.63;120
1982;7;22;70.76;120
1982;7;23;73.8;120
1982;7;24;74.6;120
1982;7;25;70.03;120
1982;7;26;68.58;120
1982;7;27;67.92;120
1982;7;28;68.57;120
1982;7;29;79.22;120
1982;7;30;85.97;120
1982;7;31;77.67;120
1982;8;1;72.95;120
1982;8;2;72.76;40
1982;8;3;75.73;40
1982;8;4;67.02;40
1982;8;5;60.21;40
1982;8;6;58.89;40
1982;8;7;62.89;40
1982;8;8;57.59;40
1982;8;9;56.31;40
1982;8;10;52.55;40
1982;8;11;44.32;40
1982;8;12;42.11;40
1982;8;13;42.11;40
1982;8;14;39.96;40
1982;8;15;77.23;40
1982;8;16;50.34;120
1982;8;17;53.16;120
1982;8;18;51.13;120
1982;8;19;49.68;120
1982;8;20;48.69;120
1982;8;21;47.54;120
1982;8;22;46.1;120
1982;8;23;41.02;40
1982;8;24;46.59;40
1982;8;25;44.32;40
1982;8;26;38.9;40
1982;8;27;34.84;40
1982;8;28;30.11;40
1982;8;29;27.71;40
1982;8;30;25.97;40
1982;8;31;27.71;40
1982;9;1;31.02;40
1982;9;2;26.54;40
1982;9;3;23.79;40
1982;9;4;22.75;40
1982;9;5;22.25;40
1982;9;6;25.97;40
1982;9;7;27.71;40
1982;9;8;24.86;40
1982;9;9;25.41;40
1982;9;10;50.12;40
1982;9;11;31.96;40
1982;9;12;25.97;40
1982;9;13;27.71;40
1982;9;14;34.84;40
1982;9;15;29.2;40
1982;9;16;28.31;40
1982;9;17;25.97;40
1982;9;18;24.86;40
1982;9;19;23.79;40
1982;9;20;25.41;40
1982;9;21;23.26;40
1982;9;22;22.25;40
1982;9;23;21.27;40
1982;9;24;21.27;40
1982;9;25;21.76;40
